"","2012","2013","2014"
"Argentina",828808.9341,861414.5163,854420.6494
"Australia",991827.7729,1098874.1937,1108212.3129
"Austria",389747.2828,404650.2573,415257.2665
"Belgium",471332.353,485894.9634,502116.8899
"Bulgaria",118415.8908,120831.5742,125629.3466
"Brazil",3091548.6133,3239944.7305,3340162.6488
"Canada",1464565.3363,1550269.8055,1602420.6861
"Switzerland",460544.9734,483647.5147,501374.2234
"Chile",371592.6257,392442.7056,403051.7514
"Cyprus",27540.4024,26360.9073,25963.4808
"Czech Republic",305309.3707,320535.0972,340575.3392
"Germany",3503684.2066,3647777.5941,3810885.9006
"Denmark",250524.5651,262368.1157,269789.5544
"Spain",1496106.3253,1519907.8619,1564460.7854
"Estonia",34419.8396,36158.6096,37521.4266
"Finland",219916.339,224594.224,226716.9512
"France",2471784.5141,2606141.9143,2658467.312
"United Kingdom",2387347.7972,2502075.6083,2630350.4191
"Greece",279267.2732,286168.6393,287892.6046
"Croatia",90186.5111,92185.151,93081.4799
"Hungary",228145.9549,241058.456,251538.752
"Indonesia",2344875.0117,2515533.7563,2685308.9445
"Ireland",213532.2444,222143.7644,236704.9293
"Iceland",12984.8088,13802.3857,14500.6346
"Italy",2157546.5805,2176319.7155,2206285.8131
"Japan",4558488.47,4729230.604,4751874.0595
"Lithuania",73672.2577,78949.6977,82558.827
"Luxembourg",48418.0154,51775.9716,55859.4822
"Latvia",43234.9533,45639.6161,47624.4947
"Mexico",1984966.3184,2039349.1336,2151633.4441
"Malta",12349.857,13214.3798,14455.146
"Netherlands",782578.0725,817809.8782,826588.2819
"Norway",328115.5226,340127.9652,337287.3201
"New Zealand",145405.6802,160668.9726,167682.2062
"Portugal",278160.9044,291753.1919,299615.9878
"Romania",380769.7061,396866.9802,413681.6373
"Russia",3625384.7356,3656648.0214,3663025.4872
"Slovakia",144098.0751,151020.734,157249.7184
"Slovenia",59332.3901,60834.4672,63910.5741
"Sweden",425753.749,438479.7729,449945.5083
"Turkey",1539111.2284,1690856.0862,1780288.8584
"South Africa",659635.569,685219.3272,707148.1396
