"","2012","2013","2014"
" Argentina ",".",".","."
" Australia","3.5","3.5","3.5"
" Austria ","3.4","3.3","3.4"
" Belgium","3.8","3.9","4.1"
" Belarus ","7.8","8.2","."
" Brazil ",".",".","."
" Bulgaria","7.2","6.6","6.7"
" Chile","3.1","3.1","."
" China",".",".","."
" Croatia",".",".","."
" Cyprus ","5.4","5.8","5.9"
" Czech Republic ","8.2","8.2","8.2"
" Denmark ","3.8","3.7","3.7"
" Egypt ",".",".","."
" Estonia","8.9","8.9","8.6"
" Finland ","4.7","4.7","4.7"
" France ","3.5","3.5","."
" Greece","4.7","4.8","4.9"
" Spain","4.0","4.0","4.0"
" Netherlands","3.3","3.4","3.5"
" India",".",".","."
" Indonesia ",".",".","."
" Ireland ","6.3","5.9","5.8"
" Iceland","4.7","4.6","4.4"
" Israel ","2.7","2.9","2.9"
" Japan ","2.7","2.7","."
" Canada","3.5","3.4","3.4"
" South Korea","2.2","2.2","2.2"
" Lithuania","7.4","7.0","7.0"
" Luxembourg","8.3","8.3","."
" Latvia","7.8","7.9","7.7"
" Malta","3.9","3.8","4.0"
" Mexico","2.7","2.6","."
" Germany ","3.3","3.2","3.3"
" Nigeria ",".",".","."
" Norway","3.9","3.9","4.0"
" New Zealand","5.0","5.0","."
" P o l a n d","7.9","7.7","7.2"
" South Africa",".",".","."
" Portugal","3.3","3.2","3.3"
" Russia","7.8","8.1","."
" Romania ","5.4",".","."
" Slovakia ","5.0","5.0","5.0"
" Slovenia ","5.5","5.5","5.6"
" United States","2.1","2.1","2.0"
" Switzerland ","3.6","3.6","."
" Sweden ","3.7","3.7","3.7"
" Turkey ",".",".","."
" Ukraine ","7.9","7.7","7.8"
" Hungary ","7.7","8.2","8.5"
" United Kingdom","4.2","4.1","4.0"
" Italy   ","4.2","4.2","4.2"
