"","2012","2013","2014"
" Argentina ",".",".","."
" Australia","4.4","4.5","4.6"
" Austria ","0.7","0.8","0.8"
" Belgium","0.4","0.4","0.4"
" Belarus ","1.0","1.1","."
" Brazil ",".",".","."
" Bulgaria","0.9","0.9","0.9"
" Chile","4.4","4.4","."
" China",".",".","."
" Croatia",".",".","."
" Cyprus ","2.6","2.7","2.6"
" Czech Republic ","0.6","0.5","0.5"
" Denmark ","0.7","0.8","0.8"
" Egypt ",".",".","."
" Estonia","0.6","0.5","0.4"
" Finland ","0.4","0.4","0.4"
" France ","0.9","0.9","."
" Greece","2.4","2.2","2.3"
" Spain","1.6","1.8","1.8"
" Netherlands","0.7","0.8","0.8"
" India",".",".","."
" Indonesia ",".",".","."
" Ireland ","3.5","3.4","3.3"
" Iceland","1.2","1.3","1.3"
" Israel ","2.9","2.8","2.8"
" Japan ","2.2","2.1",""
" Canada","1.5","1.6","1.6"
" South Korea","6.1","5.9","5.8"
" Lithuania","0.6","0.5","0.5"
" Luxembourg","0.9","1.0","."
" Latvia","2.0","2.1","2.1"
" Malta","1.5","1.5","1.5"
" Mexico","1.5","1.5","."
" Germany ","0.8","0.8","0.8"
" Nigeria ",".",".","."
" Norway","0.5","0.5","0.5"
" New Zealand","1.5","1.4","."
" P o l a n d","1.1","1.1","1.0"
" South Africa","3.3","3.3","3.4"
" Portugal","1.4","1.3","1.3"
" Russia","1.3","1.3","."
" Romania ","2.1",".","."
" Slovakia ","1.6","1.6","1.6"
" Slovenia ","1.3","1.4","1.3"
" United States","2.3","2.3","2.3"
" Switzerland ","0.6","0.6","."
" Sweden ","0.3","0.3","0.3"
" Turkey ","1.2","1.3","1.3"
" Ukraine ","1.3","1.3","1.2"
" Hungary ","1.5","1.6","1.7"
" United Kingdom","1.6","1.7","1.8"
" Italy   ","1.0","1.0","1.0"
