"country","year","average_life","cons_alc","cons_edu","GDP","internetuser","people","students","unemployers","workers","percent"
"argentina","X2012",75.8,NA,NA,19.6890113813992,558,42095,673,0.0295046917686186,0.373013422021618,0.02
"australia","X2012",82,3.5,4.4,43.2904619134913,790,22911,620,0.0272794727423508,0.495264283531928,0.02
"austria","X2012",81.1,3.4,0.7,46.35433905804,800,8408,473,0.0248572787821123,0.485846812559467,0.02
"belgium","X2012",80.5,3.8,0.4,42.4815099594412,807,11095,456,0.0332582244254169,0.407751239296981,0.02
"brazil","X2012",73.8,NA,NA,15.2742987386488,486,202402,383,0.0309581921127262,0.467944980780822,0.02
"bulgaria","X2012",74.4,7.2,0.9,16.1615792002184,519,7327,414,0.0559574177698922,0.400436740821619,0.02
"chile","X2012",80.9,3.1,4.4,21.3706363986657,551,17388,668,0.0285254198297677,0.442776627559236,0.02
"croatia","X2012",77.3,NA,NA,21.0913262628625,619,4276,393,0.0694574368568756,0.36623012160898,0.02
"cyprus","X2012",81.1,5.4,2.6,31.949422737819,607,862,394,0.0603248259860789,0.446635730858469,0.02
"czechrepublic","X2012",78.1,8.2,0.6,29.0632432841504,734,10505,444,0.0349357448833889,0.465492622560685,0.02
"denmark","X2012",80.2,3.8,0.7,44.8888308726035,923,5581,518,0.0392402795197993,0.481813295108404,0.02
"estonia","X2012",76.7,8.9,0.6,25.9772374339623,784,1325,535,0.0520754716981132,0.464150943396226,0.02
"finland","X2012",80.7,4.7,0.4,40.7177076467321,899,5401,597,0.038326235882244,0.459729679688947,0.02
"france","X2012",82.1,3.5,0.9,37.8660862800067,814,65277,377,0.0410098503301316,0.395315348438194,0.02
"greece","X2012",80.7,4.7,2.4,25.1909862168501,551,11086,624,0.107793613566661,0.333303265379758,0.02
"spain","X2012",82.5,4,1.6,31.9557931842454,698,46818,445,0.124118928617199,0.376628647101542,0.02
"netherlands","X2012",81.2,3.3,0.7,46.7769320083682,929,16730,499,0.030842797369994,0.498804542737597,0.02
"indonesia","X2012",68.5,NA,NA,9.45369262653303,145,248038,276,0.0292092340689733,0.446737999822608,0.02
"ireland","X2012",80.9,6.3,3.5,46.5922418503164,769,4583,445,0.0689504691250273,0.401047348898102,0.02
"iceland","X2012",83,4.7,1.2,40.5775275,962,320,623,0.034375,0.525,0.02
"japan","X2012",83.1,2.7,2.2,35.8540858109171,795,127140,331,0.0224162340726758,0.493157149598867,0.02
"canada","X2012",81.6,3.5,1.5,42.0031357204313,830,34868,NA,0.0393483996787886,0.50011471836641,0.02
"lithuania","X2012",74.1,7.4,0.6,24.5247196071904,672,3004,608,0.0655792276964048,0.424766977363515,0.02
"luxembourg","X2012",81.5,8.3,0.9,92.2247912380952,919,525,141,0.0247619047619048,0.44952380952381,0.02
"latvia","X2012",74.1,7.8,2,21.1417864547677,731,2045,500,0.0757946210268949,0.428361858190709,0.02
"malta","X2012",80.9,3.9,1.5,29.5451124401914,682,418,317,0.0287081339712919,0.406698564593301,0.02
"mexico","X2012",76.4,2.7,1.5,16.2607524997747,398,122071,284,0.0202668938568538,0.401430315144465,0.02
"germany","X2012",80.7,3.3,0.8,43.6172219724131,823,80328,NA,0.0276864854098197,0.487090429240116,0.02
"norway","X2012",81.5,3.9,0.5,65.8073651423987,946,4986,503,0.0166466105094264,0.518451664661051,0.02
"newzealand","X2012",81.2,5,1.5,32.7785573038774,820,4436,610,0.0338142470694319,0.492110009017133,0.02
"southafrica","X2012",56.1,NA,3.3,12.4843493953101,410,52837,215,0.0859435622764351,0.255938073698355,0.02
"portugal","X2012",80.6,3.3,1.4,26.385970821476,603,10542,395,0.0793018402580156,0.431322329728704,0.02
"russia","X2012",70.4,7.8,1.3,25.3424165054244,638,143056,582,0.0288768034895426,0.500118834582261,0.02
"romania","X2012",74.4,5.4,2.1,18.9475371267914,459,20096,376,0.0312002388535032,0.428194665605096,0.02
