"country","year"
"argentina","X2012"
"australia","X2012"
"chile","X2012"
"estonia","X2012"
"finland","X2012"
"greece","X2012"
"iceland","X2012"
"lithuania","X2012"
"newzealand","X2012"
"russia","X2012"
"slovenia","X2012"
"turkey","X2012"
"argentina","X2013"
"australia","X2013"
"chile","X2013"
"denmark","X2013"
"finland","X2013"
"greece","X2013"
"iceland","X2013"
"lithuania","X2013"
"norway","X2013"
"newzealand","X2013"
"russia","X2013"
"turkey","X2013"
"argentina","X2014"
"australia","X2014"
"chile","X2014"
"denmark","X2014"
"finland","X2014"
"greece","X2014"
"lithuania","X2014"
"norway","X2014"
"newzealand","X2014"
"turkey","X2014"
