"","2012","2013","2014"
" Argentina","648","651","668"
" Australia","595","598","615"
" Austria","448","500","495"
" Belgium","431","438","444"
" Belarus","621","594","547"
" Brazil","358","369","392"
" Bulgaria ","389","390","391"
" Chile","643","668","678"
" China","240","250","306"
" Croatia","368","386","391"
" Cyprus","369","369","392"
" Czech Republic","419","406","398"
" Denmark ","493","520","536"
" Egypt","269","283","284"
" Estonia","510","491","456"
" Finland","572","569","561"
" France","352","356","362"
" Greece","599","599","620"
" Spain","420","421","426"
" Netherlands ","474",".","."
" India","226","220","234"
" Indonesia","251","256","254"
" Ireland ","420","434","443"
" Iceland ","598","593","."
" Israel ","493","478","475"
" Japan","306","304","305"
" Canada ",".",".","."
" South Korea","677","671","."
" Lithuania ","583","537","504"
" Luxembourg","116",".","."
" Latvia ","475","467","448"
" Malta","292","298","296"
" Mexico","259","267","273"
" Germany ",".","345","361"
" Nigeria",".",".","."
" Norway","478","506","517"
" New Zealand","585","575","580"
" P o l a n d ","521","494","458"
" South Africa","190","194","189"
" Portugal","370","354","347"
" Russia","557","525","488"
" Romania","351","309","290"
" Slovakia","409","387","365"
" Slovenia ","506","475","440"
" United States","667","630","617"
" Switzerland","339","348","356"
" Sweden ","478","457","445"
" Turkey","583","658","714"
" Ukraine","526","486","474"
" Hungary ","383","362","334"
" United Kingdom  ","393","373","366"
" Italy  ","324","314","305"
