"","2012","2013","2014"
" Argentina","1,242","1,140","1,186"
" Australia","625","687","746"
" Austria","209","231","245"
" Belgium","369","417","423"
" Belarus","25","21","24"
" Brazil","6,266","6,742","7,377"
" Bulgaria","410","436","385"
" Chile ","496","475","514"
" China","9,170","9,260","9,520"
" Croatia","297","318","327"
" Cyprus","52","69","70"
" Czech Republic","367","369","324"
" Denmark","219","202","192"
" Egypt","3,425","3,649","3,637"
" Estonia","69","59","50"
" Finland","207","219","232"
" France","2,677","2,836","3,033"
" Greece","1,195","1,330","1,274"
" Spain","5,811","6,051","5,610"
" Netherlands","516","647","660"
" India",".",".","."
" Indonesia","7,245","7,411","7,245"
" Ireland","316","282","243"
" Iceland","11","10","9"
" Israel","247","228","223"
" Japan","2,850","2,650","2,360"
" Canada","1,372","1,347","1,322"
" South Korea","820","807","937"
" Lithuania","197","173","158"
" Luxembourg","13","15","15"
" Latvia","155","120","108"
" Malta","12","12","11"
" Mexico","2,474","2,599","2,623"
" Germany","2,224","2,182","2,090"
" Nigeria",".",".","."
" Norway","83","92","95"
" New Zealand","150","136","131"
" P o l a n d","1,749","1,793","1,567"
" South Africa","4,541","4,886","5,076"
" Portugal","836","855","726"
" Russia","4,131","4,137","3,889"
" Romania","627","653","629"
" Slovakia","378","386","359"
" Slovenia","90","102","98"
" United States","12,506","11,460","9,617"
" Switzerland","193","205","216"
" Sweden","404","412","412"
" Turkey","2,202","2,442","2,843"
" Ukraine","1,657","1,577","1,848"
" Hungary","473","441","343"
" United Kingdom","2,534","2,438","1,996"
" Italy","2,691","3,069","3,236"
